id,title,vote_average,vote_count,revenue,runtime,imdb_id,original_language,overview,popularity,genres,spoken_languages,keywords
284054,Black Panther,7.39,21053,1349926083,135,tt1825683,en,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",43.665,"Action, Adventure, Science Fiction","English, Korean, Swahili, Xhosa","africa, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
284052,Doctor Strange,7.427,20935,676343174,115,tt1211837,en,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",70.535,"Action, Adventure, Fantasy",English,"magic, superhero, training, time, based on comic, sorcerer, doctor, neurosurgeon, wizard, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
76341,Mad Max: Fury Road,7.582,20911,378858340,121,tt1392190,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",78.319,"Action, Adventure, Science Fiction",English,"rescue, future, australia, chase, dystopia, post-apocalyptic future, survival, on the run, on the road, convoy, peak oil, dark future"
16869,Inglourious Basterds,8.215,20746,321457747,153,tt0361748,en,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",59.162,"Drama, Thriller, War","German, English, French, Italian","guerrilla warfare, swastika, paris, france, nazi, self sacrifice, sadism, dynamite, mexican standoff, world war ii, jew persecution, masochism, anti-semitism, german occupation of france, british politics, revisionist history, adolf hitler"
70160,The Hunger Games,7.193,20636,694394724,142,tt1392170,en,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",29.577,"Science Fiction, Adventure, Fantasy",English,"based on novel or book, revolution, dystopia, female protagonist, bow and arrow, game, archery, death match, forced to kill, based on young adult novel"
315635,Spider-Man: Homecoming,7.345,20507,880166924,133,tt2250912,en,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",65.88,"Action, Adventure, Science Fiction, Drama",English,"high school, new york city, washington dc, usa, superhero, based on comic, reboot, aftercreditsstinger, marvel cinematic universe (mcu)"
672,Harry Potter and the Chamber of Secrets,7.721,20390,876688482,161,tt0295297,en,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",121.699,"Adventure, Fantasy",English,"witch, flying car, elves, magic, sword, diary, child hero, school of witchcraft, giant spider, black magic, giant snake, child driving car, wizard, aftercreditsstinger, christmas, based on young adult novel, wizarding world"
283995,Guardians of the Galaxy Vol. 2,7.624,20353,863756051,137,tt3896198,en,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,67.553,"Science Fiction, Adventure, Action",English,"superhero, based on comic, sequel, misfit, space, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
121,The Lord of the Rings: The Two Towers,8.385,20274,926287400,179,tt0167261,en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",78.73,"Adventure, Fantasy, Action",English,"mission, army, based on novel or book, funeral, orcs, elves, dwarf, explosive, fort, cave, siege, addiction, attack, dragon, guide, death, split personality, wizard, ring, live action and animation, sword and sorcery"
1771,Captain America: The First Avenger,6.995,20269,370569774,124,tt0458339,en,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",43.665,"Action, Adventure, Science Fiction","French, Norwegian, English","new york city, nazi, superhero, world war ii, heroism, shield, based on comic, super soldier, period drama, brooklyn, new york city, aftercreditsstinger, marvel cinematic universe (mcu), origin story, soldiers, war"
297761,Suicide Squad,5.909,20097,746846894,123,tt1386697,en,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",35.356,"Action, Adventure, Fantasy","English, Japanese, Spanish","secret mission, superhero, anti hero, villain, supervillain, dc extended universe (dceu)"
673,Harry Potter and the Prisoner of Azkaban,8.02,20038,789804554,141,tt0304141,en,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",124.386,"Adventure, Fantasy",English,"witch, school friend, friendship, flying, magic, bus, traitor, child hero, school of witchcraft, black magic, time travel, school, best friend, werewolf, muggle, wizard, aftercreditsstinger, magical creature, night bus, teenage life, christmas, school class, based on young adult novel, magic spell, wizarding world"
10195,Thor,6.768,20023,449326618,115,tt0800369,en,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",51.277,"Adventure, Fantasy, Action",English,"new mexico, superhero, redemption, banishment, based on comic, brother against brother, norse mythology, aftercreditsstinger, marvel cinematic universe (mcu), worlds collide, god of thunder, fantasy"
10138,Iron Man 2,6.835,19756,623933331,124,tt1228705,en,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",84.445,"Adventure, Action, Science Fiction","English, Russian, French","technology, superhero, malibu, based on comic, revenge, aftercreditsstinger, marvel cinematic universe (mcu), break out"
272,Batman Begins,7.701,19561,374218673,140,tt0372784,en,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",66.286,"Action, Crime, Drama","English, Urdu, Mandarin","martial arts, undercover, loss of loved one, secret identity, crime fighter, superhero, based on comic, rivalry, ninja, vigilante, tragic hero, super power, haunted by the past, evil doctor, master villain, unfulfilled love"
284053,Thor: Ragnarok,7.595,19539,855301806,131,tt3501632,en,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",45.2,"Action, Adventure, Science Fiction",English,"superhero, based on comic, sequel, alien planet, female villain, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), norse god, loki"
150540,Inside Out,7.922,19463,857611174,95,tt2096673,en,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",107.292,"Animation, Family, Adventure, Drama, Comedy",English,"dream, san francisco, california, minnesota, sadness, cartoon, ice hockey, imaginary friend, elementary school, family relationships, memory, family, unicorn, running away, duringcreditsstinger, emotions"
135397,Jurassic World,6.682,19414,1671537444,124,tt0369610,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",54.089,"Action, Adventure, Science Fiction, Thriller",English,"island, primal fear, escape, velociraptor, dna, tyrannosaurus rex, animal attack, sequel, dinosaur, creature, park, amusement park, theme park, genetic engineering, raptor, animal horror, mosasaurus"
807,Se7en,8.368,19403,327311859,127,tt0114369,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",53.521,"Crime, Mystery, Thriller",English,"drug dealer, rage and hate, police, s.w.a.t., sadism, self-fulfilling prophecy, psychopath, detective, rain, investigation, pension, evisceration, pride and vanity, immoderateness, insomnia, murder, serial killer, religion, seven deadly sins, depravity, neo-noir"
674,Harry Potter and the Goblet of Fire,7.816,19287,895921036,157,tt0330373,en,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",134.276,"Adventure, Fantasy","English, French","witch, dying and death, based on novel or book, magic, boarding school, world cup, maze, mermaid, school of witchcraft, black magic, chosen one, vision, school, tournament, dragon, wizard, teenage hero, christmas, based on young adult novel, wizarding world"
22,Pirates of the Caribbean: The Curse of the Black Pearl,7.794,19233,655011224,143,tt0325980,en,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",80.509,"Adventure, Fantasy, Action",English,"blacksmith, east india company, gold, exotic island, governor, skeleton, jamaica, british empire, pirate, swashbuckler, 18th century, caribbean sea, aftercreditsstinger, pirate ship, british navy, tortuga, based on theme park ride"
12445,Harry Potter and the Deathly Hallows: Part 2,8.105,19183,1341511219,130,tt1201607,en,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",110.974,"Fantasy, Adventure",English,"witch, dying and death, saving the world, self sacrifice, magic, school of witchcraft, sorcerer, school, battle, wizard, teenage hero, christmas, based on young adult novel, good versus evil, wizarding world"
11,Star Wars,8.204,19155,775398007,121,tt0076759,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,88.559,"Adventure, Action, Science Fiction",English,"empire, galaxy, rebellion, android, hermit, smuggling (contraband), freedom, rebel, rescue mission, space, planet, desert, super power, oppression, space opera, wizard, totalitarianism"
297762,Wonder Woman,7.236,18954,822854286,141,tt0451279,en,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,54.628,"Action, Adventure, Fantasy","German, English","island, hero, strong woman, world war i, empowerment, superhero, feminism, greek mythology, based on comic, female protagonist, period drama, super power, heroine, woman director, female empowerment, 1910s, dc extended universe (dceu)"
14160,Up,7.949,18857,735099082,96,tt1049413,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",90.968,"Animation, Comedy, Family, Adventure",English,"central and south america, age difference, balloon, travel, dog, duringcreditsstinger, pets, exploring, senior"
102899,Ant-Man,7.082,18730,519311965,117,tt0478970,en,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",37.692,"Science Fiction, Action, Adventure",English,"superhero, ant, shrinking, based on comic, heist, miniaturization, miniature people, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
238,The Godfather,8.707,18677,245066411,175,tt0068646,en,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",158.448,"Drama, Crime","English, Italian, Latin","based on novel or book, loss of loved one, love at first sight, italy, symbolism, patriarch, europe, organized crime, mafia, religion, lawyer, revenge motive, crime family, sicilian mafia, religious hypocrisy, gun violence, rise to power, dead horse, gang violence, 1940s, 1950s, mafia war"
286217,The Martian,7.678,18525,630600000,141,tt3659388,en,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",76.0,"Drama, Adventure, Science Fiction","English, Mandarin","spacecraft, planet mars, based on novel or book, nasa, isolation, botanist, alone, survival, space, engineering, stranded, astronaut, struggle for survival, duringcreditsstinger, deep space, potatoes, 2030s"
105,Back to the Future,8.314,18442,381109762,116,tt0088763,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",62.543,"Adventure, Comedy, Science Fiction",English,"flying car, race against time, clock tower, car race, lightning, guitar, plutonium, inventor, journey in the past, invention, time travel, bullying, mad scientist, fish out of water, terrorism, teenage love, destiny, hidden identity, love and romance, teenage life, changing the past or future, 1950s, tiempo, amused"
140607,Star Wars: The Force Awakens,7.293,18352,2068223624,136,tt2488496,en,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",66.772,"Adventure, Action, Science Fiction",English,"android, spacecraft, space opera"
